Date,HPBH:221F003 Stanlow,HPBH:221F004 Stanlow,HPBH:221F008 Stanlow,HPBH:221F011 Stanlow,HPBH:221FT009 Stanlow,HPBH:221Q004 Stanlow,HPBH:221QT004 Stanlow,HPBH:221T017 Stanlow,HPBH:221T028 Stanlow,HPBH:221T034 Stanlow,HPBH:221T035 Stanlow,HPBH:221T036 Stanlow,HPBH:221T044 Stanlow,HPBH:221TT031 Stanlow,HPBH:221TT032 Stanlow,HPBH:221U829 Stanlow
2018-04-01 21:00:00,1728.0794827586208,-198.50080517241375,128.1490275,,,5.24829348717949,,398.8376,,,,,13.508145,8.090372,,
2018-04-01 22:00:00,1727.761189655172,-197.51404193548387,128.0143390243902,,,5.248184178571428,,398.8384,,,,,13.5888025,,,
2018-04-01 23:00:00,1732.7402413793102,-195.7485,128.47478205128203,0.0,0.0,5.248038499999999,5.248184,398.8384,,7.695949,8.070394,,13.2449525,,7.466957,0.0
2018-04-02 00:00:00,1733.3825614035088,-197.27255438596487,128.47875757575756,,,5.247989235294117,,398.8352,,,,,12.87139,,,
2018-04-02 01:00:00,1729.7405,-197.60747,128.0541846153846,0.0,0.0,5.248026333333335,5.248184,398.837,8.107741,7.064086,7.3189,7.0404230000000005,12.3662375,7.00525,6.9101015,0.0
2018-04-02 02:00:00,1735.7709245283022,-198.28260943396228,127.64738378378377,,,5.248026333333334,,398.8384,,,,,11.646,,,
2018-04-02 03:00:00,1732.31998275862,-198.44898125000003,128.0592944444444,,,5.248026333333334,,,,,,,11.56959,,,
2018-04-02 04:00:00,1734.4735517241377,-198.32577758620687,128.18072682926828,,,5.247994800000002,,,,,,,10.753418,,,
2018-04-02 05:00:00,1734.2747413793104,-197.81550344827585,128.10699555555556,,,5.248002076923077,,398.8384,,,,,9.232006999999998,,,
2018-04-02 06:00:00,1733.4987586206896,-197.53197931034484,128.38172,,,5.248026333333332,,398.8312,,,,,8.5839365,,,
2018-04-02 07:00:00,1734.121844827587,-199.1432018181818,128.42803684210526,,,5.2479948,,398.8315,,,,,8.047179,,,
2018-04-02 08:00:00,1723.315051724138,-197.4648424242424,127.85689743589744,,,5.248003809523808,,398.8331,,5.324688,5.489173,5.201638,7.468915,,,
2018-04-02 09:00:00,1721.2560862068965,-194.4281615384616,127.97118048780486,0.0,0.0,5.248002076923077,5.248184,398.8274,6.133314,,,,7.475517333333333,4.748289,4.657356,0.0
2018-04-02 10:00:00,1720.2304482758618,-192.05869215686275,127.63666999999998,,,5.247986916666668,,398.8303,,,,,8.320745500000001,,,
2018-04-02 11:00:00,1717.4935517241383,-194.26218,127.38874857142856,,,5.247994799999999,,398.8384,,,,,9.09050625,,,
2018-04-02 12:00:00,1713.7078275862063,-197.81054716981131,127.1502594594594,,,5.248026333333335,,398.8384,8.023721,,,,9.007493333333334,,,
2018-04-02 13:00:00,1708.6958793103452,-198.9439867924528,126.549243902439,,,5.248011999999998,,398.8264,11.21641,,9.420906333333331,9.221574666666667,9.875834,,,
2018-04-02 14:00:00,1703.147931034483,-198.62005636363628,126.03050476190477,,,5.247994799999999,,398.8384,,9.333587,9.965464,9.376185,10.999344999999998,,,
2018-04-02 15:00:00,1704.3897931034478,-194.58967321428577,125.96114761904768,0.0,,5.248259000000001,,,,,,,11.67996,7.513829,,
2018-04-02 16:00:00,1703.251034482759,-191.8059055555555,125.3964333333333,0.02244378,0.0,5.248462823529413,5.248658,,,,,,11.93749,,8.04913,0.0
