,TotalCostUSD,Mode,ProgressType,Type,StateType,LoadingPosition,Plan,ShipmentType,EquipmentLength,EquipmentWidth,EquipmentHeight,MinTemp,MaxTemp,TotalValue,Miles,TotalWeight,Tarps,Repeat,TankerUnload,TankerVolume,TankerVolumeUnit,NumStops,TotalPallets,LoadCommodityMasterLinkID,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,TotalRateUSD,CommodityID,TimeTravel,TimeNegotiate,LoadDate-Month,LoadDate-Day,DelDate-Month,DelDate-Day,CreateDate-Month,CreateDate-Day,Volume_Last_30,Avg_Cost_Last_30,Avg_Rate_Last_30,NTIBooked,NTIAssumed,TenderVolume,S/D Ratio,Avg_Weight_Last_14,Avg_Dist_Last_14,USD/Mile,Avg_Cost_Last_14,Avg_Rate_Last_14,Cost_Volatility_Last_14,Rate_Volatility_Last_14,TRUCKD11,DJTA,DTB3,GASREGW,IPG2122N,IPG3361T3S,GDP,PPIACO,BUSINV,PCU48414841
876,174.56,2,8,1,1,0,0,1,53,0,0,-9999,-9999,100000.0,537,230,0,0,0,0,1,2,1,2,34.378,-84.933,29.746,-90.814,204.23,0,5,0,12,16,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
877,3600.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,2184,25140,3,25717862,0,0,1,2,27,1,42.977,-85.769,34.187,-118.449,4000.0,0,6,5,12,21,12,27,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
878,2050.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,802,20000,0,28299873,0,0,1,2,22,1,42.106,-87.799,35.994,-78.899,2445.0,0,3,4,12,20,12,23,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
879,3000.0,1,8,1,1,2,0,0,53,0,0,34,38,100000.0,1262,41824,0,0,0,0,1,2,24,2,40.769,-111.888,32.783,-96.8,3363.21,0,2,11,12,27,12,29,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
880,800.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,316,2800,0,28237180,0,0,1,2,10,1,26.192,-98.181,30.267,-97.743,1025.0,0,1,3,12,19,12,20,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
881,1250.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,498,45000,3,28254374,0,0,1,2,0,1,31.913,-87.736,35.629,-82.181,1750.0,0,1,3,12,19,12,20,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
882,200.46,2,8,2,1,2,0,2,53,0,0,-9999,-9999,100000.0,195,423,0,0,0,0,1,2,3,2,35.796,-81.431,35.876,-84.17,203.96,0,2,4,12,20,12,22,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
883,2000.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,0,0,0,19094908,0,0,1,2,0,1,42.802,-73.928,42.802,-73.928,1900.0,0,0,1,12,17,12,17,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
884,161.1,2,8,1,1,0,0,1,53,0,0,-9999,-9999,100000.0,1499,85,0,0,0,0,1,2,1,2,33.183,-96.626,34.156,-118.821,181.1,0,7,5,12,21,12,28,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
885,3186.75,1,8,1,1,2,0,1,53,0,0,-5,-5,100000.0,1241,15000,0,0,0,0,1,2,16,1,37.8,-121.188,39.74,-104.862,3546.75,0,2,3,12,19,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
886,415.81,2,8,1,1,0,0,1,53,0,0,-9999,-9999,100000.0,221,6000,0,0,0,0,1,2,4,2,38.276,-85.746,39.846,-82.806,451.78,0,1,5,12,21,12,22,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
887,679.0,1,8,1,1,2,0,0,53,0,0,-9999,-9999,100000.0,171,1520,0,0,0,0,1,2,0,2,34.965,-89.825,34.229,-92.023,994.89,0,0,3,12,19,12,19,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
